index,date,value
75453,2010-06-13,2.39
75453,2010-06-14,2.35
75453,2010-06-15,2.31
75453,2010-06-16,2.42
75453,2010-06-17,2.38
75453,2010-06-18,2.34
75453,2010-06-19,2.3
75453,2010-06-20,2.3
75453,2010-06-21,2.3
75453,2010-06-22,2.26
75453,2010-06-23,2.26
75453,2010-06-24,2.26
75453,2010-06-25,2.22
75453,2010-06-26,2.22
75453,2010-06-27,2.18
75453,2010-06-28,2.18
75453,2010-06-29,2.14
75453,2010-06-30,2.14
75453,2010-07-01,2.1
75453,2010-07-02,2.1
75453,2010-07-03,2.1
75453,2010-07-04,2.1
75453,2010-07-05,2.06
75453,2010-07-06,2.06
75453,2010-07-07,2.02
75453,2010-07-08,1.99
75453,2010-07-09,1.99
75453,2010-07-10,1.95
75453,2010-07-11,1.95
75453,2010-07-12,1.95
75453,2010-07-13,1.95
75453,2010-07-14,1.95
75453,2010-07-15,1.95
75453,2010-07-16,1.93
75453,2010-07-17,1.9
75453,2010-07-18,1.9
75453,2010-07-19,1.9
75453,2010-07-20,1.9
75453,2010-07-21,1.85
75453,2010-07-22,1.82
75453,2010-07-23,1.81
75453,2010-07-24,1.81
75453,2010-07-25,1.81
75453,2010-07-26,1.81
75453,2010-07-27,1.81
75453,2010-07-28,1.81
75453,2010-07-29,1.81
75453,2010-07-30,1.81
75453,2010-07-31,1.81
75453,2010-08-01,1.81
75453,2010-08-02,1.81
75453,2010-08-03,1.81
75453,2010-08-04,1.81
75453,2010-08-05,1.81
75453,2010-08-06,1.84
75453,2010-08-07,1.84
75453,2010-08-08,1.83
75453,2010-08-09,1.83
75453,2010-08-10,1.9
75453,2010-08-11,1.94
75453,2010-08-12,2.01
75453,2010-08-13,2.08
75453,2010-08-14,2.08
75453,2010-08-15,2.11
75453,2010-08-16,2.11
75453,2010-08-17,2.09
75453,2010-08-18,2.09
75453,2010-08-19,2.09
75453,2010-08-20,2.09
75453,2010-08-21,2.09
75453,2010-08-22,2.09
75453,2010-08-23,2.09
75453,2010-08-24,2.09
75453,2010-08-25,2.09
75453,2010-08-26,2.13
75453,2010-08-27,2.13
75453,2010-08-28,2.16
75453,2010-08-29,2.18
75453,2010-08-30,2.22
75453,2010-08-31,2.22
75453,2010-09-01,2.25
75453,2010-09-02,2.25
75453,2010-09-03,2.25
75453,2010-09-04,2.25
75453,2010-09-05,2.25
75453,2010-09-06,2.25
75453,2010-09-07,2.23
75453,2010-09-08,2.18
75453,2010-09-09,2.14
75453,2010-09-10,2.14
75453,2010-09-11,2.11
75453,2010-09-12,2.11
75453,2010-09-13,2.11
75453,2010-09-14,2.11
75453,2010-09-15,2.11
75453,2010-09-16,2.11
75453,2010-09-17,2.11
75453,2010-09-18,2.11
